,date,title,press,contents,link
955,2023.03.20.,[신제품] 오뚜기·던킨·백리향 스타일 외,스포츠한국,"오뚜기는 라면 제품 '열라면'과 떡볶이 떡을 조합한 '열떡볶이면'을 리뉴얼해 선보인다. 던킨은 귀리를... 사진=오뚜기 제공 ◆ 오뚜기, '열떡볶이면' 2종 리뉴얼 출시 오뚜기는 라면 제품 '열라면'과 떡볶이 떡을 조합한...",https://sports.hankooki.com/news/articleView.html?idxno=6823797
956,2023.03.20.,"오뚜기, ‘열떡볶이면’ 2종 리뉴얼 출시",CNB뉴스,"(사진=오뚜기) 오뚜기가 열라면과 떡볶이 떡을 조합한 ‘열떡볶이면’ 2종을 리뉴얼 출시했다. 20일 오뚜기에 따르면, 열떡볶이면 2종은 ‘오리지널’ ‘로제’ 맛으로 구성됐다. 오리지널은 열라면 수준의 매운맛으로...",https://www.cnbnews.com/news/article.html?no=592590
957,2023.03.27.,여름 비빔면 시장 신흥강자로 부상,보건뉴스,"찰진 면발에 새콤·매운 맛 구현…누적판매 1억봉 기록 오뚜기는 여름철 비빔면 성수기를 앞두고 '진비빔면... 오뚜기 진비빔면 모델 화사 오뚜기는 치열한 비빔면 시장을 겨냥해, 걸그룹 마마무의 화사를 '진비빔면' 새...",http://www.bokuennews.com/news/article.html?no=227217
958,2023.03.23.,"오뚜기, '제3회 푸드 에세이' 공모전 접수 열기 ‘후끈’… 내달 3일 마감",뉴스1,오뚜기(007310)는 '제3회 푸드 에세이 공모전'의 응모 편수가 접수 시작 35일 만에 1000편을 돌파했다고 23일 밝혔다. 이는 전년 동기 대비 11% 증가한 수치다. 올해로 3회째를 맞은 오뚜기 푸드 에세이 공모전은 음식에 관한...,https://www.news1.kr/articles/4990820
959,2023.04.06.,"라면시장, 벌써 '여름 비빔면 전쟁' 뜨겁다",에너지경제,"유명 모델을 앞세운 시장 3강 팔도·농심·오뚜기가 라인업까지 확대하며 수요 잡기에 열을 올리는 가운데... 지난해 출고가 기준 배홍동 비빔면 매출만 250억원을 기록하며 오뚜기를 제치고 시장 2위로 올라선 만큼, 올해...",https://www.ekn.kr/web/view.php?key=20230406010001413
960,2023.03.21.,"오뚜기 장애인 표준사업장 오뚜기프렌즈, 장애인 근로자 전원 정규직 채용",팝콘뉴스,오뚜기가 자회사형 장애인 표준사업장 오뚜기프렌즈 직원을 전원 정규직으로 채용했다고 21일 밝혔다. 오뚜기프렌즈는 20명의 장애인 근로자(2022년 말 기준)를 모두 정규직으로 채용했다. 한국장애인고용공단...,http://www.popcornnews.net/news/articleView.html?idxno=37638
961,2023.03.21.,"장애인 자립 돕는 오뚜기프렌즈, 근로자 전원 정규직 채용",공공뉴스,지난해 11월 오뚜기프렌즈 창립기념식에서 참석자들이 기념촬영을 하고 있는 모습. &lt;사진제공=오뚜기&gt; 오뚜기가 자회사형 장애인 표준사업장 '오뚜기프렌즈' 직원 전원을 정규직으로 채용하며 장애인들의 자립 지원에...,http://www.00news.co.kr/news/articleView.html?idxno=77447
962,2023.03.20.,[신세계] 신세계푸드·오뚜기·대상웰라이프·던킨,포쓰저널,"사진=오뚜기 ◇ 오뚜기, 업그레이그된 '열떡볶이면' 2종 리뉴얼 출시 오뚜기는 '열라면'과 떡볶이 떡을 조합한 '열떡볶이면'을 리뉴얼 출시했다고 20일 밝혔다. 새롭게 출시된 2종은 열떡볶이면 '오리지널' 맛과 '로제...",http://www.4th.kr/news/articleView.html?idxno=2035961
963,2023.04.05.,햇반 용기 재활용 안된다는 말에 전국의 자취생들이 보인 '생존甲' 반응,인사이트,"= 많은 사람들이 재활용품으로 알고 있는 즉석밥 '햇반', '오뚜기밥'의 용기.착실하게 분리배출했던 이... 최근 여러 온라인 커뮤니티와 각종 SNS에는 '햇반, 오뚜기밥 용기 재활용 불가' 정보가 담긴 글이 확산했다. 이에...",https://www.insight.co.kr/news/434756
964,2023.03.20.,"오뚜기 창업자, 교회에 주식 증여…대법 ""증여세 적법""",뉴스1,오뚜기 창업주 고(故) 함태호 명예회장이 공익법인에 출연한 주식에 증여세를 부과하는 것은 적법하다고... 함 명예회장은 1996년 오뚜기재단에 오뚜기 주식 17만주(지분율 4.94%)를 출연했다. 2015년에는 자신이 보유하던...,https://www.news1.kr/articles/4986474
965,2023.03.20.,[신제품] 오뚜기·던킨·백리향 스타일 외,스포츠한국,"오뚜기는 라면 제품 '열라면'과 떡볶이 떡을 조합한 '열떡볶이면'을 리뉴얼해 선보인다. 던킨은 귀리를... 사진=오뚜기 제공 ◆ 오뚜기, '열떡볶이면' 2종 리뉴얼 출시 오뚜기는 라면 제품 '열라면'과 떡볶이 떡을 조합한...",https://sports.hankooki.com/news/articleView.html?idxno=6823797
966,2023.03.20.,"오뚜기, ‘열떡볶이면’ 2종 리뉴얼 출시",CNB뉴스,"(사진=오뚜기) 오뚜기가 열라면과 떡볶이 떡을 조합한 ‘열떡볶이면’ 2종을 리뉴얼 출시했다. 20일 오뚜기에 따르면, 열떡볶이면 2종은 ‘오리지널’ ‘로제’ 맛으로 구성됐다. 오리지널은 열라면 수준의 매운맛으로...",https://www.cnbnews.com/news/article.html?no=592590
967,2023.03.27.,여름 비빔면 시장 신흥강자로 부상,보건뉴스,"찰진 면발에 새콤·매운 맛 구현…누적판매 1억봉 기록 오뚜기는 여름철 비빔면 성수기를 앞두고 '진비빔면... 오뚜기 진비빔면 모델 화사 오뚜기는 치열한 비빔면 시장을 겨냥해, 걸그룹 마마무의 화사를 '진비빔면' 새...",http://www.bokuennews.com/news/article.html?no=227217
968,2023.03.23.,"오뚜기, '제3회 푸드 에세이' 공모전 접수 열기 ‘후끈’… 내달 3일 마감",뉴스1,오뚜기(007310)는 '제3회 푸드 에세이 공모전'의 응모 편수가 접수 시작 35일 만에 1000편을 돌파했다고 23일 밝혔다. 이는 전년 동기 대비 11% 증가한 수치다. 올해로 3회째를 맞은 오뚜기 푸드 에세이 공모전은 음식에 관한...,https://www.news1.kr/articles/4990820
969,2023.04.06.,"라면시장, 벌써 '여름 비빔면 전쟁' 뜨겁다",에너지경제,"유명 모델을 앞세운 시장 3강 팔도·농심·오뚜기가 라인업까지 확대하며 수요 잡기에 열을 올리는 가운데... 지난해 출고가 기준 배홍동 비빔면 매출만 250억원을 기록하며 오뚜기를 제치고 시장 2위로 올라선 만큼, 올해...",https://www.ekn.kr/web/view.php?key=20230406010001413
970,2023.03.21.,"오뚜기프렌즈, '장애인 근로자' 전원 정규직 전환",한국경제TV,오뚜기는 장애인 표준사업장 오뚜기프렌즈의 장애인 근로자 20명을 모두 정규직 채용한다고 21일 밝혔다. 오뚜기는 장애인 임금근로자의 비정규직 비율(64.9%)이 전체 비정규직(37.5%) 대비 월등히 높은 현실을 고려해...,http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202303210169&t=NN
971,2023.03.21.,"오뚜기, '오뚜기프렌즈' 장애인 근로자 전원 정규직 채용",스포츠한국,오뚜기프렌즈 직원이 점자 명함을 제작하는 모습. 사진=오뚜기 제공 오뚜기가 자회사형 장애인 표준사업장 '오뚜기프렌즈' 직원 20명을 전원 정규직으로 채용했다고 21일 밝혔다. 오뚜기프렌즈는 지난 2021년 11월...,https://sports.hankooki.com/news/articleView.html?idxno=6823846
972,2023.03.20.,[신세계] 신세계푸드·오뚜기·대상웰라이프·던킨,포쓰저널,"사진=오뚜기 ◇ 오뚜기, 업그레이그된 '열떡볶이면' 2종 리뉴얼 출시 오뚜기는 '열라면'과 떡볶이 떡을 조합한 '열떡볶이면'을 리뉴얼 출시했다고 20일 밝혔다. 새롭게 출시된 2종은 열떡볶이면 '오리지널' 맛과 '로제...",http://www.4th.kr/news/articleView.html?idxno=2035961
973,2023.04.05.,햇반 용기 재활용 안된다는 말에 전국의 자취생들이 보인 '생존甲' 반응,인사이트,"= 많은 사람들이 재활용품으로 알고 있는 즉석밥 '햇반', '오뚜기밥'의 용기.착실하게 분리배출했던 이... 최근 여러 온라인 커뮤니티와 각종 SNS에는 '햇반, 오뚜기밥 용기 재활용 불가' 정보가 담긴 글이 확산했다. 이에...",https://www.insight.co.kr/news/434756
974,2023.03.20.,"오뚜기 창업자, 교회에 주식 증여…대법 ""증여세 적법""",뉴스1,오뚜기 창업주 고(故) 함태호 명예회장이 공익법인에 출연한 주식에 증여세를 부과하는 것은 적법하다고... 함 명예회장은 1996년 오뚜기재단에 오뚜기 주식 17만주(지분율 4.94%)를 출연했다. 2015년에는 자신이 보유하던...,https://www.news1.kr/articles/4986474
975,2023.03.20.,[신제품] 오뚜기·던킨·백리향 스타일 외,스포츠한국,"오뚜기는 라면 제품 '열라면'과 떡볶이 떡을 조합한 '열떡볶이면'을 리뉴얼해 선보인다. 던킨은 귀리를... 사진=오뚜기 제공 ◆ 오뚜기, '열떡볶이면' 2종 리뉴얼 출시 오뚜기는 라면 제품 '열라면'과 떡볶이 떡을 조합한...",https://sports.hankooki.com/news/articleView.html?idxno=6823797
976,2023.03.20.,"오뚜기, ‘열떡볶이면’ 2종 리뉴얼 출시",CNB뉴스,"(사진=오뚜기) 오뚜기가 열라면과 떡볶이 떡을 조합한 ‘열떡볶이면’ 2종을 리뉴얼 출시했다. 20일 오뚜기에 따르면, 열떡볶이면 2종은 ‘오리지널’ ‘로제’ 맛으로 구성됐다. 오리지널은 열라면 수준의 매운맛으로...",https://www.cnbnews.com/news/article.html?no=592590
977,2023.03.27.,여름 비빔면 시장 신흥강자로 부상,보건뉴스,"찰진 면발에 새콤·매운 맛 구현…누적판매 1억봉 기록 오뚜기는 여름철 비빔면 성수기를 앞두고 '진비빔면... 오뚜기 진비빔면 모델 화사 오뚜기는 치열한 비빔면 시장을 겨냥해, 걸그룹 마마무의 화사를 '진비빔면' 새...",http://www.bokuennews.com/news/article.html?no=227217
978,2023.03.23.,"오뚜기, '제3회 푸드 에세이' 공모전 접수 열기 ‘후끈’… 내달 3일 마감",뉴스1,오뚜기(007310)는 '제3회 푸드 에세이 공모전'의 응모 편수가 접수 시작 35일 만에 1000편을 돌파했다고 23일 밝혔다. 이는 전년 동기 대비 11% 증가한 수치다. 올해로 3회째를 맞은 오뚜기 푸드 에세이 공모전은 음식에 관한...,https://www.news1.kr/articles/4990820
979,2023.04.06.,"라면시장, 벌써 '여름 비빔면 전쟁' 뜨겁다",에너지경제,"유명 모델을 앞세운 시장 3강 팔도·농심·오뚜기가 라인업까지 확대하며 수요 잡기에 열을 올리는 가운데... 지난해 출고가 기준 배홍동 비빔면 매출만 250억원을 기록하며 오뚜기를 제치고 시장 2위로 올라선 만큼, 올해...",https://www.ekn.kr/web/view.php?key=20230406010001413
980,2023.03.20.,[신세계] 신세계푸드·오뚜기·대상웰라이프·던킨,포쓰저널,"사진=오뚜기 ◇ 오뚜기, 업그레이그된 '열떡볶이면' 2종 리뉴얼 출시 오뚜기는 '열라면'과 떡볶이 떡을 조합한 '열떡볶이면'을 리뉴얼 출시했다고 20일 밝혔다. 새롭게 출시된 2종은 열떡볶이면 '오리지널' 맛과 '로제...",http://www.4th.kr/news/articleView.html?idxno=2035961
